mode_index,classification,irrep,frequency_cm-1,imaginary_frequency_cm-1,ir_intensity_km_mol,reduced_mass_u,force_constant_mDyne_A
0,TR,,0.0,4.224874887618442e-05,7.227690870393855e-09,5.901223089036429,-6.206117179119907e-15
1,TR,,0.0,1.1473951810841193e-05,1.0688300637329821e-09,5.69780870866149,-4.4196119685574644e-16
2,TR,,4.379184167296202e-06,0.0,1.290049599637735e-07,6.003319328751787,6.783098098599549e-17
3,TR,,1.3165574532162993e-05,0.0,9.41690799973326e-10,5.56544024507019,5.683677002115877e-16
4,TR,,1.5093066735500605e-05,0.0,9.293611837522232e-09,5.920963551358417,7.946897390280179e-16
5,TR,,4.3021042841078457e-05,0.0,3.5600777940120566e-09,5.612892638016395,6.120668178276427e-15
6,V,A,24.119700168986217,0.0,0.9134842688959309,4.83284352710036,0.0016565203559336995
7,V,A,24.354929060869143,0.0,0.9040466131723743,4.832630009620749,0.0016889139291008828
8,V,A,46.08357028448477,0.0,7.307076049286704e-11,6.741964967927967,0.008435852185446588
9,V,A,49.86841625326422,0.0,4.934388661138572e-10,5.207082602661984,0.007629496043515852
10,V,A,51.739287444165306,0.0,1.6360414084092078e-10,6.763560030456113,0.010667593762802248
11,V,A,95.19305020691682,0.0,4.4639238546697815,9.686312247374154,0.051715316117442546
12,V,A,151.55870489887386,0.0,8.760474797141166e-10,6.008397853174123,0.08131500376122748
13,V,A,209.30109529248145,0.0,30.107813808764167,1.0182226610115588,0.02628064340909032
14,V,A,215.82234582146612,0.0,31.603645094803152,5.063751945689524,0.13896821321290836
15,V,A,215.89613498273724,0.0,31.74672729133231,5.07133794310477,0.1392715856846313
16,V,A,239.02806078852157,0.0,1.1733040308904014e-07,1.0668878094771654,0.0359142467535142
17,V,A,245.79586320558423,0.0,1.5025057541931094e-07,1.065047900213392,0.03791128563838399
18,V,A,305.1878412594508,0.0,1.7425510611846884e-06,4.701865833573797,0.25802092045922315
19,V,A,306.52803813650485,0.0,8.379815462159865e-06,5.318485310273559,0.2944276607450583
20,V,A,308.3896552777085,0.0,375.7057419157231,1.1320730834747046,0.06343432176808941
21,V,A,308.5467512902123,0.0,375.70059382619513,1.1315319476736545,0.06346861329256932
22,V,A,338.71501512486225,0.0,1.0051990663811796,5.483549165699731,0.3706643970634221
23,V,A,340.47684477359525,0.0,4.690775638707456e-08,1.1215961951084157,0.07660584789513962
24,V,A,441.8133320106847,0.0,4.6862979548591406e-09,1.0767281494075698,0.12383229848926172
25,V,A,465.7535834914083,0.0,19.0244127734124,1.0962138201633973,0.14010638132796752
26,V,A,465.85484811546434,0.0,19.00537371157588,1.0960895311519578,0.14015141989192745
27,V,A,479.8824009044379,0.0,23.632123319385432,1.029608789746242,0.1396986215079243
28,V,A,488.53640705890047,0.0,2.9037567511847626e-08,1.090756840244763,0.15338117007878083
29,V,A,502.2820879508334,0.0,1.1659253246845564e-09,1.0793213213973452,0.16043398514547366
30,V,A,811.838290302778,0.0,215.52280221089703,1.0700979059375832,0.41553997494469413
31,V,A,839.4162276178531,0.0,6.099653496720292e-09,1.0520904914190465,0.4367752794440684
32,V,A,841.6548887003379,0.0,5.856611507486678e-09,1.0518965632872337,0.43902714158426887
33,V,A,959.9211392202893,0.0,106.07643275050908,1.0380247417768846,0.5635455826365791
34,V,A,960.0019278800387,0.0,106.05376442881672,1.0380253633259853,0.5636407821098801
35,V,A,1047.0605052112478,0.0,1.074707320012038e-09,1.036548714015837,0.6695507598784941
36,V,A,1698.0723372457485,0.0,106.26686575750307,1.0855106075539647,1.8441518520378515
37,V,A,1711.269814730172,0.0,1.4585617778043209e-09,1.0803787080008893,1.8640743454330861
38,V,A,1713.1459772466435,0.0,3.857285573200175e-10,1.0799604085685401,1.8674406547266797
39,V,A,1748.9407790370356,0.0,91.61202776596313,1.0703971952595304,1.9290585251057286
40,V,A,1748.9485980449867,0.0,91.67035641927504,1.0703986907265879,1.9290784688078357
41,V,A,1769.2362691323651,0.0,3.3582407706611167e-10,1.0653210642346858,1.9647279119401526
42,V,A,3163.612402973376,0.0,1.2041792812839444e-08,1.0659563310928633,6.285736707069532
43,V,A,3254.9514701633193,0.0,2975.0262491767553,1.0651070042237556,6.648635275322329
44,V,A,3254.9962572451677,0.0,2975.3755621659566,1.065105551296448,6.648809172987199
45,V,A,3321.29566399798,0.0,2.402711724251618e-07,1.0634336703992482,6.911554183152218
46,V,A,3321.7511791740717,0.0,2.293441691767088e-07,1.063415965684274,6.913335050807926
47,V,A,3342.196262869717,0.0,82.49320855291978,1.0623413051300472,6.991626172240631
48,V,A,3813.4225505253903,0.0,0.0002757166339898349,1.0658855734430586,9.13252097181079
49,V,A,3813.6569450613692,0.0,87.78183393965548,1.065641413465546,9.131551456253588
50,V,A,3813.7989685740185,0.0,86.24486978811846,1.066262532577562,9.137554407899367
51,V,A,3813.7996937250373,0.0,86.25920337873706,1.0662619828475957,9.13755317168134
52,V,A,3813.931041022177,0.0,0.0007479286599028068,1.0662983076843529,9.138493892016484
53,V,A,3813.982958032891,0.0,0.0010576895705215607,1.0659284450404338,9.13557276935318
