
Host: ipp2-0070

Timers On : Fri Jul 10 15:45:43 2026
Timers Off: Fri Jul 10 16:10:52 2026

Wall Time:     1508.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :   1754.167u    141.017s     72.058w    111 calls
build grid                          :   1311.450u     91.900s     28.450w    111 calls
post-process grid                   :    441.617u     49.017s     43.583w    111 calls
Total PK formation time             :  19369.000u    438.150s    588.651w    111 calls
Libint2ERI::Libint2ERI              :   1380.917u    150.517s    145.536w   7215 calls
HF: Form core H                     :    110.250u     10.833s      2.272w    111 calls
HF: Form S/X                        :     34.783u      4.433s      0.823w    111 calls
HF: Guess                           :    248.367u     36.850s      5.808w    111 calls
SAD Guess                           :    242.717u     36.033s      5.674w    111 calls
HF: Form G                          :  23409.100u   1187.933s    474.444w   1664 calls
RV: Form V                          :  14486.000u     35.250s    272.484w   1664 calls
Properties                          :   3214.660p                         12040570 calls
Functional                          :    911.097p                         12040570 calls
V_xc                                :   5367.807p                         11287611 calls
JK: D                               :     11.133u      1.700s      0.301w   1664 calls
JK: USO2AO                          :      0.400u      0.017s      0.009w   1664 calls
JK: JK                              :   8887.733u   1148.017s    201.101w   1664 calls
PK computes JK                      :   8885.267u   1147.717s    201.060w   1664 calls
JK: AO2USO                          :      0.150u      0.000s      0.004w   1664 calls
HF: Form F                          :     18.300u      3.900s      0.519w   1664 calls
HF: Form D                          :      4.600u      0.400s      0.131w   1664 calls
HF: DIIS                            :    325.633u     49.133s      8.124w   1553 calls
HF: Form C                          :    494.183u     59.600s     11.475w   1553 calls
Grad: V T Perturb                   :    125.583u     11.600s      2.587w    111 calls
Grad: S                             :     63.217u      6.350s      1.324w    111 calls
Grad: JK                            :   7339.633u    158.400s    191.751w    111 calls
Grad: XC                            :   2492.917u     23.550s     47.193w    111 calls
V_xc gradient                       :    506.185p                         752959 calls

--------------------------------------------------------------------------------------
V: Grid                             :   1754.167u    141.017s     72.058w    111 calls
| build grid                        :   1311.450u     91.900s     28.450w    111 calls
| post-process grid                 :    441.617u     49.017s     43.583w    111 calls
Total PK formation time             :  19369.000u    438.150s    588.651w    111 calls
| Libint2ERI::Libint2ERI            :    246.800u     17.933s     70.720w   3663 calls
HF: Form core H                     :    110.250u     10.833s      2.272w    111 calls
HF: Form S/X                        :     34.783u      4.433s      0.823w    111 calls
HF: Guess                           :    248.367u     36.850s      5.808w    111 calls
| SAD Guess                         :    242.717u     36.033s      5.674w    111 calls
HF: Form G                          :  23409.100u   1187.933s    474.444w   1664 calls
| RV: Form V                        :  14486.000u     35.250s    272.484w   1664 calls
| | Properties                      :   2383.543p                         11287611 calls
| | Functional                      :    854.893p                         11287611 calls
| | V_xc                            :   5367.807p                         11287611 calls
| JK: D                             :     11.133u      1.700s      0.301w   1664 calls
| JK: USO2AO                        :      0.400u      0.017s      0.009w   1664 calls
| JK: JK                            :   8887.733u   1148.017s    201.101w   1664 calls
| | PK computes JK                  :   8885.267u   1147.717s    201.060w   1664 calls
| JK: AO2USO                        :      0.150u      0.000s      0.004w   1664 calls
HF: Form F                          :     18.300u      3.900s      0.519w   1664 calls
HF: Form D                          :      4.600u      0.400s      0.131w   1664 calls
HF: DIIS                            :    325.633u     49.133s      8.124w   1553 calls
HF: Form C                          :    494.183u     59.600s     11.475w   1553 calls
Grad: V T Perturb                   :    125.583u     11.600s      2.587w    111 calls
Grad: S                             :     63.217u      6.350s      1.324w    111 calls
Grad: JK                            :   7339.633u    158.400s    191.751w    111 calls
| Libint2ERI::Libint2ERI            :   1134.117u    132.583s     74.817w   3552 calls
Grad: XC                            :   2492.917u     23.550s     47.193w    111 calls
| Properties                        :    831.117p                         752959 calls
| Functional                        :     56.203p                         752959 calls
| V_xc gradient                     :    506.185p                         752959 calls

**************************************************************************************
