mode_index,classification,irrep,frequency_cm-1,imaginary_frequency_cm-1,ir_intensity_km_mol,reduced_mass_u,force_constant_mDyne_A
0,TR,,0.0,4.092142424746575e-05,4.563732633518552e-09,6.452532551674317,-6.366224046836692e-15
1,TR,,0.0,2.372215541913425e-05,4.5338243674074766e-10,6.354338534091187,-2.106827001106107e-15
2,TR,,0.0,1.819940857195406e-05,1.0931081429585221e-08,6.598104705821961,-1.2876089481146292e-15
3,TR,,3.476245127332273e-06,0.0,6.584567179473088e-10,6.450696245678276,4.592800820902767e-17
4,TR,,2.4743659758620413e-05,0.0,3.2641234802557654e-09,6.2843191388570485,2.266920738049553e-15
5,TR,,3.126468833056691e-05,0.0,1.1603902607826891e-07,6.674188374163248,3.843765643889018e-15
6,V,,22.442216295430814,0.0,0.8156061605497342,5.572265985952872,0.0016535356377722357
7,V,,22.660565981951045,0.0,0.8079408170127595,5.571802949776629,0.0016857279505281125
8,V,,44.03615471730127,0.0,9.252153749790111e-11,7.171466561117257,0.008193642077313806
9,V,,46.68743241940568,0.0,4.349478513974522e-10,5.834101166038365,0.007492455460707867
10,V,,49.593138841037316,0.0,1.3518591764418406e-10,7.54058900586753,0.010926943479198025
11,V,,93.10554582476301,0.0,3.7673021743087953,9.810287116549786,0.05010522909006159
12,V,,143.30720692869625,0.0,2.8978065885302484e-09,6.223744899842416,0.0753074738863929
13,V,,148.82219854442596,0.0,16.439043862625017,2.0546731720623312,0.026811950917152074
14,V,,172.69906731742836,0.0,2.7604492727807586e-08,2.164883083692591,0.03804211589462242
15,V,,177.4491726928707,0.0,3.154593575147505e-08,2.1308073515992274,0.03953141660339942
16,V,,197.5546100102151,0.0,0.597047737653626,4.048520019884804,0.09309382215510326
17,V,,197.66427889773584,0.0,0.6201754236782095,4.054324864812492,0.09333083749483828
18,V,,233.34896277459472,0.0,252.66951526070676,2.7780235368665553,0.08912466363446679
19,V,,233.40847852972405,0.0,252.69467314181992,2.7750718628617688,0.08907538796554633
20,V,,253.13718249484236,0.0,1.3155896819468987e-08,2.411434394811144,0.09104111503218293
21,V,,280.9377777751523,0.0,6.607984081648847e-10,4.421937696682341,0.2056284197948172
22,V,,284.941635330964,0.0,2.607260819816569e-09,4.806572529419974,0.22993101590479356
23,V,,313.249197436085,0.0,6.3353051534699825,4.002934850512852,0.2314241562352676
24,V,,323.244345520382,0.0,1.3574142627326994e-09,2.280597336119356,0.14039793462619385
25,V,,344.9098494278056,0.0,0.24458157641918257,2.427629614452514,0.1701546621105155
26,V,,344.96710357567173,0.0,0.2474401071920765,2.4271180130094474,0.1701752867775981
27,V,,348.0931646829654,0.0,5.484477766776106,2.486999180858839,0.1775484421852989
28,V,,364.81189323198544,0.0,2.312561102286448e-09,2.6362456344397343,0.20671599557224662
29,V,,371.4881195226261,0.0,1.0282991231554482e-09,2.5183485495900784,0.20476509618762753
30,V,,593.0495788056852,0.0,116.06471922021281,2.280100414332322,0.4724830251746773
31,V,,606.9524444489125,0.0,5.342383001619506e-09,2.17836306296663,0.4728134553618323
32,V,,608.51168529795,0.0,5.1414263208392395e-09,2.1775284562430293,0.4750637769079676
33,V,,689.2287700716057,0.0,61.20767376490766,2.1208139633730547,0.5935804690121759
34,V,,689.287343039153,0.0,61.19637980951687,2.12081857661704,0.5936826535982842
35,V,,751.3446701845905,0.0,7.048190975917169e-10,2.1165855265019915,0.7039867338384752
36,V,,1244.7364021251342,0.0,59.355504906708134,2.2789704264160098,2.0803849527860776
37,V,,1251.598786768994,0.0,1.3965675733039753e-09,2.2591760415306954,2.0851176951660415
38,V,,1252.6462098329068,0.0,2.3496989782999856e-10,2.257848314533042,2.0873816082222
39,V,,1273.4093895306119,0.0,45.78923942071028,2.222056817319989,2.122958420767933
40,V,,1273.4146117742855,0.0,45.81793413120727,2.222060835130258,2.122979671938221
41,V,,1285.3152985053068,0.0,1.968685186901937e-10,2.2044672724492136,2.1457209544587625
42,V,,2301.475365680313,0.0,6.1835152182172644e-09,2.224970872397962,6.9436404503435645
43,V,,2367.068025841818,0.0,1546.4646573111936,2.222202936775685,7.335934221114966
44,V,,2367.0966728162825,0.0,1546.6358568564226,2.2221970441415846,7.336092332357922
45,V,,2413.619094778203,0.0,1.2208496961741125e-07,2.2169062338009673,7.6091303471602405
46,V,,2413.931622621286,0.0,1.2667140350040556e-07,2.2168349853764777,7.610856402899354
47,V,,2427.6586086310713,0.0,34.261405058863886,2.2132736153871377,7.685295439488631
48,V,,2776.3272043088054,0.0,60.25194033227374,2.2371269038004433,10.159729639982267
49,V,,2776.3942418228767,0.0,6.287842082401985e-05,2.237659671261477,10.16263991877313
50,V,,2776.7435765240502,0.0,0.00023431220763558698,2.2374823088956277,10.16439175227439
51,V,,2777.0163497142194,0.0,75.80067362773346,2.238382370141949,10.170478431176855
52,V,,2777.0168482740687,0.0,75.81225909088828,2.2383841392150083,10.170490121097664
53,V,,2777.1977043316087,0.0,1.9129772758346454e-05,2.2383708850561645,10.171754660905949
